list_name,review_count,title,url,ASIN
best_seller,82,Lincoln in the Bardo: A Novel,/gp/product-reviews/0812995341/ref=s9_acsd_al_bw_c_x_1_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,0812995341
best_seller,178,Norse Mythology,/gp/product-reviews/039360909X/ref=s9_acsd_al_bw_c_x_2_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,039360909X
best_seller,578,Echoes in Death: An Eve Dallas Novel,/gp/product-reviews/1250123119/ref=s9_acsd_al_bw_c_x_3_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,1250123119
best_seller,125,Heartbreak Hotel: An Alex Delaware Novel,/gp/product-reviews/034554143X/ref=s9_acsd_al_bw_c_x_4_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,034554143X
best_seller,236,Never Never,/gp/product-reviews/0316433179/ref=s9_acsd_al_bw_c_x_5_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,0316433179
best_seller,"3,057",Two by Two,/gp/product-reviews/1455520691/ref=s9_acsd_al_bw_c_x_6_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,1455520691
best_seller,"5,666",The Whistler,/gp/product-reviews/0385541198/ref=s9_acsd_al_bw_c_x_7_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,0385541198
best_seller,292,The Girl Before: A Novel,/gp/product-reviews/0425285049/ref=s9_acsd_al_bw_c_x_8_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,0425285049
best_seller,"2,453",The Underground Railroad : A Novel,/gp/product-reviews/0385542364/ref=s9_acsd_al_bw_c_x_9_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,0385542364
best_seller,201,Right Behind You,/gp/product-reviews/0525954589/ref=s9_acsd_al_bw_c_x_10_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,0525954589
best_seller,74,Gunmetal Gray (Gray Man),/gp/product-reviews/0425282856/ref=s9_acsd_al_bw_c_x_11_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,0425282856
best_seller,"4,226",Small Great Things: A Novel,/gp/product-reviews/0345544951/ref=s9_acsd_al_bw_c_x_12_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,0345544951
best_seller,204,My Not So Perfect Life: A Novel,/gp/product-reviews/081299826X/ref=s9_acsd_al_bw_c_x_13_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,081299826X
best_seller,"1,818",A Gentleman in Moscow: A Novel,/gp/product-reviews/0670026190/ref=s9_acsd_al_bw_c_x_14_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,0670026190
best_seller,441,The Mistress: A Novel,/gp/product-reviews/0345531116/ref=s9_acsd_al_bw_c_x_15_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-2&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_p=a4454e18-ea78-4cc5-b9d8-c9667f14bd99&pf_rd_i=549028,0345531116
best_seller,"10,641",A Man Called Ove: A Novel,/gp/product-reviews/1476738025/ref=s9_acsd_al_bw_c_x_1_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,1476738025
best_seller,"3,892",A Dog's Purpose: A Novel for Humans,/gp/product-reviews/0765330342/ref=s9_acsd_al_bw_c_x_2_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,0765330342
best_seller,"12,168",The Shack: Where Tragedy Confronts...,/gp/product-reviews/0964729237/ref=s9_acsd_al_bw_c_x_3_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,0964729237
best_seller,"1,737",Milk and Honey,/gp/product-reviews/144947425X/ref=s9_acsd_al_bw_c_x_4_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,144947425X
best_seller,"3,130",The Handmaid's Tale,/gp/product-reviews/038549081X/ref=s9_acsd_al_bw_c_x_5_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,038549081X
best_seller,"2,136",My Grandmother Asked Me to Tell You...,/gp/product-reviews/1501115073/ref=s9_acsd_al_bw_c_x_6_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,1501115073
best_seller,623,Bullseye (Michael Bennett),/gp/product-reviews/1455585300/ref=s9_acsd_al_bw_c_x_7_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,1455585300
best_seller,"13,103",Big Little Lies,/gp/product-reviews/0425274861/ref=s9_acsd_al_bw_c_x_8_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,0425274861
best_seller,929,Sting,/gp/product-reviews/1455581216/ref=s9_acsd_al_bw_c_x_9_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,1455581216
best_seller,"15,755",Fifty Shades Darker,/gp/product-reviews/0345803493/ref=s9_acsd_al_bw_c_x_10_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,0345803493
